,keyword,title,summary,date,href
38, AI ,"Petia Dimitrova, CEO and Chairperson of the Management Board of Postbank: Experience is not transferable",Forbes Magazine presents Petia Dimitrova as one of “The 20 most influential women in business in Bulgaria”.,6 февруари 2020,https://mediacenter.postbank.bg/petia-dimitrova-ceo-chairperson-management-board-postbank-experience-transferable/
39, AI ,"Petia Dimitrova, CEO and Chairperson of the Management Board of Postbank: Today, Bulgarian companies use only deposits for financing",The asset quality review of Bulgarian banks aimed at reassuring society after the case with Corporate Commercial Bank. ,1 ноември 2017,https://mediacenter.postbank.bg/petia-dimitrova-ceo-chairperson-management-board-postbank-today-bulgarian-companies-deposits-financing/
40, AI ,"Petia Dimitrova, CEO of Postbank: You encourage the good example",Ikonomika Magazine.,29 май 2020,https://mediacenter.postbank.bg/petia-dimitrova-ceo-postbank-encourage-good/
41, AI ,"Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank",06 December 2019.,6 декември 2019,https://mediacenter.postbank.bg/petia-dimitrova-chief-executive-officer-chairperson-management-board-postbank/
42, AI ,"Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank",2 November 2017.,2 ноември 2017,https://mediacenter.postbank.bg/petia-dimitrova-chief-executive-officer-chairperson-management-board-postbank-2/
43, AI ,"Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank with Manager magazine",5 November 2018.,5 ноември 2018,https://mediacenter.postbank.bg/petia-dimitrova-chief-executive-officer-chairperson-management-board-postbank-manager-magazine/
44, AI ,"Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank, and Ivan Nenkov, CEO of SoftUni: We are changing the market via a new strategic project, which connects business and education",26 October 2018.,26 октомври 2018,https://mediacenter.postbank.bg/petia-dimitrova-chief-executive-officer-chairperson-management-board-postbank-ivan-nenkov-ceo-softuni-changing-market-strategic-project-connects-business-education/
45, AI ,"Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank: Digitalization is the path we follow",25 April 2019.,25 април 2019,https://mediacenter.postbank.bg/petia-dimitrova-chief-executive-officer-chairperson-management-board-postbank-digitalization-path-follow/
46, AI ,"Petia Dimitrova, Chief Executive Officer and Chairwoman of the Management Board of Postbank: People will take control over their own operations","The Bank of the Future is digital and allows customers to bank remotely, Petia Dimitrova stressed in an interview with “24 Chasa“ Daily newspaper, noting that the bank’s strategy will continue to focus on the development of digital banking channels, providing customers with invaluable advantage to bank themselves in a time and place chosen by them.",5 декември 2020,https://mediacenter.postbank.bg/petia-dimitrova-chief-executive-officer-chairwoman-management-board-postbank-people-control-operations/
47, AI ,"Petia Dimitrova, Postbank’s Chief Executive Officer and Chairperson of the Management Board: OUR GOAL IS TO PROVIDE DIGITAL SERVICES THAT ARE AS FLEXIBLE AS POSSIBLE","The speed of digitalization and introducing innovations depends on the bank itself, its strategy and desire to respond to customer needs.",3 януари 2020,https://mediacenter.postbank.bg/petia-dimitrova-postbanks-chief-executive-officer-chairperson-management-board-goal-provide-digital-services-flexible/
