,keyword,title,summary,date,href
49,big data,Анализ на икономическия екип на УниКредит: България превъзхожда региона на ЦИЕ в растежа ,"Ако се сбъдне прогнозираният ръст от 4.4% за тази година, за периода&nbsp;&nbsp;&nbsp;&nbsp; 2015-2019 ръстът на БВП на страната ще е най-силният след румънския.",2018-04-18T14:27:29+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/analiz-na-ikonomicheskiya-ekip-na-unikredit-blgari/
50,big data,Икономическия екип на УниКредит Булбанк: Перспективата за българските банки остава благоприятна,"Икономическата среда, в която българските банките осъществяват дейността, си ще продължи да се подобрява и през 2018 г. , показват данните на екип Икономически проучвания на УниКредит Булбанк.",2018-01-18T10:04:45+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/analiz-na-ikonomicheskiya-ekip-na-unikredit-bulban/
51,big data,Икономическия екип на УниКредит Булбанк: Перспективата за българските банки остава благоприятна,"Икономическата среда, в която българските банките осъществяват дейността, си ще продължи да се подобрява и през 2018 г. , показват данните на екип Икономически проучвания на УниКредит Булбанк.",2018-01-18T10:04:45+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/analiz-na-ikonomicheskiya-ekip-na-unikredit-bulban/
52,big data,Проучване на УниКредит за банковия сектор на ЦИЕ 2018: Устойчив растеж и възможности,"Макроикономическата среда в Централна и Източна Европа ще остане благоприятна, оказвайки положително влияние и върху банковия сектор.",2018-01-16T17:28:40+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/prouchvane-na-unikredit-za-bankoviya-sektor-na-cen/
53,big data,Двама големи победители получават награда от по 5 хил. лв. за сбъдване на детски мечти,Жените са по-склонни да сбъдват желания – над 65% от участниците са дами. Най-често мечтите на българите са свързани с екскурзия.,2017-10-13T12:53:53+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/dvama-golemi-pobediteli-poluchavat-nagrada-ot-po-5/
54,big data,Започна кандидатстването за първия Хакатон за ЦИЕ на УниКредит,"Двудневен маратон по програмиране върху решения по Ревизираната директива за платежни услуги (PSD2) ще се проведе в началото на септември в Любляна, Словения;",2017-07-24T11:32:37+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/zapochna-kandidatstvaneto-za-prviya-hakaton-za-cie/
55,big data,Директор ИТ на УниКредит Булбанк Пепа Колева: Пълна дигитализация без компромис с ИТ сигурността,"УниКредит Булбанк поднови успешно своите сървъри, сторидж системи и комуникационна инфраструктура, за да отговори на нарастващия брой клиенти и операции, и увеличаващите се бази данни.",2017-02-27T10:12:06+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/direktor-it-na-unikredit-bulbank-pepa-koleva-celta/
56,big data,Директор ИТ на УниКредит Булбанк Пепа Колева: Пълна дигитализация без компромис с ИТ сигурността,"УниКредит Булбанк поднови успешно своите сървъри, сторидж системи и комуникационна инфраструктура, за да отговори на нарастващия брой клиенти и операции, и увеличаващите се бази данни.",2017-02-27T10:12:06+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/direktor-it-na-unikredit-bulbank-pepa-koleva-celta/
57,big data,Левон Хампарцумян: България се учи от грешките на страните с по-развити финансови услуги,България има привилегията да се учи от грешките на страните с по-развити финансови услуги и да възприема само най-добрите услуги и технологии,2016-06-14T09:03:00+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/levon-hampartsumian-balgariia-se-uchi-ot-greshkite/
58,big data,"От серията „Финанси за нефинансисти“ в блога на УниКредит Булбанк: Краят на безплатните курсове в най-престижните университети в света  наближава. Вижте пет, които не бива да изпускате",УниКредит Булбанк споделя своя селекция на (все още!) безплатни курсове за финанси и управление на личния бюджет от висококвалифицирани и световно признати учени и преподаватели,2016-03-08T08:03:00+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/kraiat-na-bezplatnite-kursove-v-universitetite/
59,big data,"От серията „Финанси за нефинансисти“ в блога на УниКредит Булбанк: Краят на безплатните курсове в най-престижните университети в света  наближава. Вижте пет, които не бива да изпускате",УниКредит Булбанк споделя своя селекция на (все още!) безплатни курсове за финанси и управление на личния бюджет от висококвалифицирани и световно признати учени и преподаватели,2016-03-08T08:03:00+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/kraiat-na-bezplatnite-kursove-v-universitetite/
60,big data,Bulbank Pay спечели ИТ проект на годината в корпоративния сектор,"Интегрираната платформа за услуги Bulbank Pay на УниКредит Булбанк е големият победител в категория „Корпоративен сектор“ в годишните награди за „ИТ проект на годината“ на ICT Media и вестник Computerworld, които тази година празнуват своя 25-годишен юбилей.",2016-02-25T08:03:00+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/bulbank-pay-specheli-it-proekt-na-godinata/
61,big data,Euromoney: проучване и класация за частно банкиране и управление на богатството,"Проучването на Euromoney събира и анализира количествени и качествени данни от 600 институции, от 90 страни по света, в 15 различни продуктови категории, свързани с частното банкиране. За първи път има и две нови категории и те са в областта на иновациите.",2016-02-19T08:03:00+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/euromoney-prouchvane-i-klasatsiia-za-chastno-banki/
